(No of words , Frequency)
(57255, 1)
(17247, 2)
(9092, 3)
(5972, 4)
(4340, 5)
(3218, 6)
(2639, 7)
(2203, 8)
(1813, 9)
(1482, 10)
(1330, 11)
(1231, 12)
(976, 13)
(923, 14)
(798, 15)
(751, 16)
(662, 17)
(639, 18)
(591, 19)
(543, 20)
(482, 21)
(442, 22)
(466, 23)
(387, 24)
(349, 25)
(394, 26)
(346, 27)
(303, 28)
(278, 29)
(304, 30)
(261, 31)
(271, 32)
(226, 33)
(267, 34)
(255, 35)
(193, 36)
(203, 37)
(186, 38)
(174, 39)
(165, 40)
(161, 41)
(143, 42)
(153, 43)
(134, 44)
(138, 45)
(140, 46)
(140, 47)
(133, 48)
(116, 49)
(123, 50)
(130, 51)
(102, 52)
(111, 53)
(118, 54)
(98, 55)
(82, 56)
(93, 57)
(98, 58)
(95, 59)
(108, 60)
(75, 61)
(87, 62)
(88, 63)
(73, 64)
(101, 65)
(87, 66)
(74, 67)
(76, 68)
(85, 69)
(72, 70)
(65, 71)
(71, 72)
(73, 73)
(67, 74)
(58, 75)
(52, 76)
(53, 77)
(56, 78)
(54, 79)
(51, 80)
(62, 81)
(46, 82)
(52, 83)
(62, 84)
(55, 85)
(49, 86)
(45, 87)
(45, 88)
(61, 89)
(52, 90)
(57, 91)
(47, 92)
(38, 93)
(35, 94)
(43, 95)
(39, 96)
(51, 97)
(50, 98)
(45, 99)
(34, 100)
(30, 101)
(41, 102)
(47, 103)
(32, 104)
(41, 105)
(37, 106)
(43, 107)
(28, 108)
(39, 109)
(38, 110)
(26, 111)
(42, 112)
(22, 113)
(30, 114)
(36, 115)
(29, 116)
(33, 117)
(23, 118)
(27, 119)
(27, 120)
(34, 121)
(25, 122)
(25, 123)
(26, 124)
(32, 125)
(23, 126)
(33, 127)
(22, 128)
(28, 129)
(19, 130)
(15, 131)
(22, 132)
(30, 133)
(27, 134)
(23, 135)
(34, 136)
(33, 137)
(28, 138)
(23, 139)
(27, 140)
(18, 141)
(23, 142)
(15, 143)
(29, 144)
(23, 145)
(26, 146)
(25, 147)
(17, 148)
(20, 149)
(27, 150)
(24, 151)
(13, 152)
(17, 153)
(11, 154)
(19, 155)
(22, 156)
(18, 157)
(20, 158)
(24, 159)
(22, 160)
(19, 161)
(18, 162)
(22, 163)
(16, 164)
(16, 165)
(16, 166)
(12, 167)
(29, 168)
(13, 169)
(15, 170)
(25, 171)
(18, 172)
(19, 173)
(10, 174)
(18, 175)
(16, 176)
(11, 177)
(17, 178)
(19, 179)
(12, 180)
(16, 181)
(18, 182)
(14, 183)
(21, 184)
(11, 185)
(12, 186)
(21, 187)
(11, 188)
(16, 189)
(12, 190)
(17, 191)
(12, 192)
(17, 193)
(14, 194)
(12, 195)
(10, 196)
(16, 197)
(18, 198)
(12, 199)
(18, 200)
(12, 201)
(14, 202)
(17, 203)
(14, 204)
(11, 205)
(13, 206)
(11, 207)
(16, 208)
(11, 209)
(13, 210)
(10, 211)
(6, 212)
(15, 213)
(11, 214)
(11, 215)
(9, 216)
(12, 217)
(10, 218)
(14, 219)
(7, 220)
(13, 221)
(10, 222)
(9, 223)
(10, 224)
(9, 225)
(13, 226)
(17, 227)
(9, 228)
(10, 229)
(10, 230)
(11, 231)
(4, 232)
(4, 233)
(8, 234)
(12, 235)
(8, 236)
(11, 237)
(10, 238)
(7, 239)
(2, 240)
(11, 241)
(9, 242)
(7, 243)
(10, 244)
(6, 245)
(4, 246)
(8, 247)
