(No of words , Frequency)
(15425, 1)
(4711, 2)
(2485, 3)
(1576, 4)
(1141, 5)
(859, 6)
(636, 7)
(544, 8)
(420, 9)
(436, 10)
(358, 11)
(330, 12)
(261, 13)
(252, 14)
(240, 15)
(204, 16)
(195, 17)
(161, 18)
(163, 19)
(150, 20)
(138, 21)
(147, 22)
(101, 23)
(111, 24)
(110, 25)
(117, 26)
(85, 27)
(104, 28)
(75, 29)
(85, 30)
(78, 31)
(76, 32)
(82, 33)
(79, 34)
(65, 35)
(58, 36)
(49, 37)
(56, 38)
(56, 39)
(60, 40)
(48, 41)
(67, 42)
(46, 43)
(52, 44)
(53, 45)
(41, 46)
(34, 47)
(40, 48)
(42, 49)
(41, 50)
(39, 51)
(37, 52)
(49, 53)
(31, 54)
(39, 55)
(38, 56)
(43, 57)
(36, 58)
(39, 59)
(35, 60)
(29, 61)
(33, 62)
(22, 63)
(27, 64)
(28, 65)
(26, 66)
(33, 67)
(34, 68)
(22, 69)
(25, 70)
(22, 71)
(27, 72)
(27, 73)
(27, 74)
(25, 75)
(26, 76)
(18, 77)
(19, 78)
(15, 79)
(13, 80)
(17, 81)
(19, 82)
(22, 83)
(16, 84)
(14, 85)
(25, 86)
(21, 87)
(26, 88)
(15, 89)
(20, 90)
(18, 91)
(16, 92)
(15, 93)
(15, 94)
(20, 95)
(12, 96)
(8, 97)
(12, 98)
(12, 99)
(12, 100)
(21, 101)
(12, 102)
(14, 103)
(11, 104)
(10, 105)
(12, 106)
(9, 107)
(10, 108)
(14, 109)
(7, 110)
(16, 111)
(8, 112)
(11, 113)
(9, 114)
(12, 115)
(8, 116)
(16, 117)
(13, 118)
(5, 119)
(8, 120)
(8, 121)
(3, 122)
(7, 123)
(9, 124)
(11, 125)
(7, 126)
(11, 127)
(5, 128)
(11, 129)
(6, 130)
(6, 131)
(10, 132)
(7, 133)
(7, 134)
(6, 135)
(8, 136)
(6, 137)
(10, 138)
(11, 139)
(5, 140)
(10, 141)
(6, 142)
(7, 143)
(8, 144)
(11, 145)
(9, 146)
(3, 147)
(6, 148)
(6, 149)
(15, 150)
(8, 151)
(7, 152)
(6, 153)
(6, 154)
(4, 155)
(7, 156)
(9, 157)
(11, 158)
(13, 159)
(10, 160)
(5, 161)
(5, 162)
(5, 163)
(6, 164)
(9, 165)
(3, 166)
(9, 167)
(6, 168)
(8, 169)
(8, 170)
(2, 171)
(3, 172)
(7, 173)
(6, 174)
(3, 175)
(9, 176)
(5, 177)
(8, 178)
(5, 179)
(6, 180)
(10, 181)
(6, 182)
(3, 183)
(4, 184)
(5, 185)
(3, 186)
(3, 187)
(4, 188)
(2, 189)
(5, 190)
(8, 191)
(5, 192)
(4, 193)
(6, 194)
(7, 195)
(4, 196)
(2, 197)
(1, 198)
(9, 199)
(8, 200)
(4, 201)
(7, 202)
(3, 203)
(6, 204)
(3, 205)
(8, 206)
(1, 207)
(4, 208)
(5, 209)
(6, 210)
(6, 211)
(2, 213)
(1, 214)
(2, 215)
(9, 216)
(4, 217)
(3, 218)
(2, 219)
(5, 220)
(4, 221)
(5, 222)
(5, 223)
(3, 224)
(6, 225)
(3, 226)
(2, 227)
(3, 228)
(4, 229)
(3, 230)
(3, 231)
(1, 232)
(4, 233)
(1, 234)
(4, 235)
(5, 236)
(4, 237)
(5, 238)
(3, 239)
(4, 240)
(3, 241)
(6, 242)
(5, 243)
(2, 244)
(4, 245)
(3, 246)
(2, 247)
(5, 248)
(2, 249)
(4, 250)
(1, 251)
(2, 252)
(2, 253)
(6, 254)
(4, 255)
(5, 256)
(4, 257)
(3, 258)
(4, 259)
(3, 260)
(3, 261)
(2, 262)
(3, 263)
(4, 264)
(6, 265)
(2, 266)
(3, 267)
(2, 268)
(6, 269)
(2, 270)
(3, 271)
(4, 272)
(4, 273)
(2, 274)
(3, 276)
(2, 277)
(1, 278)
(2, 279)
(1, 280)
(1, 281)
(2, 282)
(1, 284)
(2, 287)
(1, 288)
(1, 289)
(3, 290)
(3, 291)
(3, 292)
(3, 293)
(1, 294)
(3, 295)
(1, 297)
(2, 298)
(2, 299)
(2, 300)
(5, 301)
(4, 302)
(3, 303)
(2, 304)
(2, 306)
(3, 308)
(1, 309)
(3, 310)
(2, 311)
(2, 312)
(1, 313)
(6, 314)
(2, 315)
(3, 316)
(2, 318)
(2, 319)
(3, 320)
(1, 321)
(2, 322)
(5, 323)
(4, 325)
(3, 326)
(5, 328)
(2, 329)
(1, 330)
(3, 331)
(3, 332)
(2, 333)
(4, 334)
(2, 335)
(2, 336)
(2, 337)
(1, 338)
(1, 339)
(1, 343)
(1, 345)
(1, 346)
(1, 347)
(1, 350)
(1, 351)
(2, 352)
(1, 354)
(3, 356)
(1, 357)
(1, 358)
(2, 359)
(4, 360)
(1, 361)
(4, 363)
(1, 364)
(2, 365)
(3, 367)
(2, 368)
(3, 369)
(2, 370)
(2, 371)
(2, 372)
(1, 374)
(2, 375)
(2, 376)
(1, 377)
(1, 379)
(2, 380)
(1, 381)
(1, 383)
(2, 384)
(2, 385)
(3, 386)
(2, 387)
(2, 388)
(2, 391)
(1, 393)
(2, 394)
(2, 395)
(1, 397)
(1, 398)
(1, 399)
(2, 401)
(1, 403)
(2, 404)
(2, 405)
(1, 406)
(3, 407)
(1, 408)
(1, 409)
(1, 410)
(1, 411)
(2, 412)
(2, 413)
(2, 414)
(1, 415)
(1, 416)
(1, 417)
(4, 418)
(1, 420)
(1, 421)
(1, 422)
(1, 423)
(1, 425)
(2, 430)
(1, 431)
(3, 432)
(2, 433)
(1, 436)
(1, 437)
(2, 438)
(1, 439)
(1, 440)
(1, 441)
(2, 442)
(2, 443)
(1, 444)
(3, 445)
(3, 448)
(1, 450)
(2, 451)
(1, 452)
(2, 453)
(1, 454)
(2, 457)
(1, 458)
(1, 459)
(1, 460)
(1, 461)
(2, 465)
(1, 466)
(1, 467)
(2, 468)
(1, 469)
(2, 474)
(1, 477)
(1, 478)
(2, 480)
(1, 483)
(4, 484)
(3, 486)
(1, 488)
(1, 489)
(2, 490)
(1, 491)
(1, 493)
(1, 494)
(2, 496)
(1, 498)
(1, 499)
(1, 500)
(1, 503)
(1, 504)
(2, 505)
(2, 506)
(1, 507)
(1, 508)
(2, 509)
(1, 511)
(4, 514)
(1, 515)
(1, 516)
(1, 517)
(1, 519)
(1, 522)
(1, 524)
(1, 526)
(1, 527)
(2, 528)
(1, 529)
(2, 534)
(1, 535)
(1, 537)
(1, 538)
(1, 539)
(1, 540)
(3, 541)
(1, 543)
(1, 547)
(1, 553)
(1, 554)
(2, 555)
(1, 557)
(1, 559)
(1, 560)
(2, 569)
(1, 570)
(1, 576)
(1, 579)
(1, 580)
(2, 581)
(1, 583)
(1, 587)
(1, 588)
(1, 589)
(2, 590)
(1, 593)
(1, 594)
(2, 598)
(1, 600)
(3, 608)
(1, 610)
(1, 613)
(1, 615)
(2, 619)
(1, 621)
(1, 624)
(1, 629)
(1, 632)
(1, 634)
(1, 636)
(1, 640)
(1, 641)
(2, 644)
(1, 646)
(3, 648)
(2, 649)
(1, 650)
(3, 655)
(1, 659)
(1, 663)
(1, 664)
(1, 665)
(1, 666)
(1, 677)
(1, 678)
(1, 679)
(1, 681)
(1, 683)
(1, 686)
(1, 687)
(1, 690)
(1, 692)
(1, 693)
(2, 698)
(1, 700)
(1, 701)
(1, 702)
(1, 703)
(1, 706)
(1, 709)
(1, 711)
(2, 715)
(1, 716)
(1, 721)
(2, 723)
(1, 728)
(1, 731)
(1, 734)
(1, 737)
(1, 739)
(1, 744)
(1, 748)
(1, 749)
(1, 752)
(1, 753)
(1, 755)
(1, 760)
(1, 762)
(1, 769)
(1, 772)
(1, 777)
(1, 783)
(1, 785)
(2, 786)
(1, 787)
(2, 789)
(1, 791)
(2, 792)
(1, 795)
(1, 800)
(1, 804)
(1, 809)
(1, 820)
(1, 822)
(1, 828)
(2, 835)
(2, 838)
(1, 839)
(1, 842)
(1, 844)
(1, 851)
(1, 852)
(1, 855)
(1, 866)
(1, 868)
(1, 878)
(1, 884)
(1, 887)
(1, 890)
(2, 895)
(1, 897)
(1, 899)
(1, 901)
(1, 917)
(1, 922)
(1, 925)
(1, 933)
(1, 934)
(1, 939)
(1, 943)
(1, 955)
(1, 958)
(1, 963)
(1, 970)
(1, 990)
(2, 992)
(2, 1001)
(1, 1005)
(1, 1022)
(1, 1023)
(1, 1033)
(1, 1083)
(1, 1086)
(1, 1090)
(1, 1093)
(1, 1094)
(1, 1098)
(1, 1104)
(1, 1110)
(1, 1114)
(1, 1117)
(1, 1121)
(1, 1123)
(1, 1149)
(1, 1152)
(1, 1168)
(1, 1195)
(1, 1204)
(1, 1205)
(1, 1237)
(1, 1242)
(1, 1248)
(1, 1251)
(1, 1256)
(1, 1270)
(1, 1277)
(1, 1299)
(1, 1313)
(1, 1338)
(1, 1340)
(1, 1347)
(1, 1349)
(1, 1363)
(1, 1387)
(1, 1397)
(1, 1399)
(1, 1434)
(1, 1456)
(1, 1465)
(1, 1482)
(1, 1516)
(1, 1529)
(1, 1552)
(1, 1581)
(1, 1614)
(1, 1626)
(1, 1643)
(1, 1653)
(1, 1656)
(1, 1662)
(2, 1663)
(1, 1670)
(1, 1679)
(1, 1700)
(1, 1729)
(1, 1735)
(1, 1736)
(1, 1737)
(1, 1767)
(1, 1776)
(1, 1799)
(1, 1814)
(1, 1878)
(1, 1895)
(1, 1909)
(1, 1939)
(1, 1961)
(1, 1967)
(1, 1991)
(1, 1993)
(1, 2042)
(1, 2058)
(1, 2067)
(1, 2120)
(1, 2149)
(2, 2158)
(1, 2182)
(1, 2215)
(1, 2218)
(1, 2221)
(1, 2229)
(1, 2264)
(1, 2299)
(1, 2356)
(1, 2374)
(1, 2383)
(1, 2453)
(1, 2502)
(1, 2520)
(1, 2560)
(1, 2586)
(1, 2635)
(2, 2662)
(1, 2741)
(1, 2750)
(1, 2752)
(1, 2761)
(1, 2931)
(1, 2951)
(1, 3001)
(1, 3208)
(1, 3228)
(1, 3264)
(1, 3329)
(1, 3639)
(1, 3702)
(1, 3719)
(1, 3726)
(1, 3740)
(1, 3755)
(1, 3761)
(1, 3852)
(1, 4043)
(1, 4129)
(1, 4252)
(1, 4382)
(1, 4705)
(1, 4719)
(1, 4809)
(1, 5094)
(1, 5103)
(1, 5270)
(1, 5650)
(1, 5833)
(1, 6064)
(1, 6068)
(1, 6181)
(1, 7157)
(1, 7658)
(1, 8207)
(1, 8973)
(1, 9227)
(1, 9548)
(1, 9643)
(1, 9797)
(1, 12859)
(1, 14159)
(1, 17791)
(1, 25002)
(1, 30280)
(1, 32041)
(1, 34293)
(1, 47910)
(1, 95012)
